date,value,id
2013-01-01,48,0
2013-01-02,44,0
2013-01-03,60,0
2013-01-04,56,0
2013-01-05,50,0
2013-01-06,63,0
2013-01-07,27,0
2013-01-08,54,0
2013-01-09,55,0
2013-01-10,45,0
2013-01-11,53,0
2013-01-12,60,0
2013-01-13,7888,0
2013-01-14,44,0
2013-01-15,41,0
2013-01-16,54,0
2013-01-17,51,0
2013-01-18,54,0
2013-01-19,71,0
2013-01-20,57,0
2013-01-21,36,0
2013-01-22,56,0
2013-01-23,52,0
2013-01-24,45,0
2013-01-25,57,0
2013-01-26,67,0
2013-01-27,61,0
2013-01-28,37,0
2013-01-29,58,0
2013-01-30,40,0
2013-01-31,49,0
2013-02-01,67,0
2013-02-02,70,0
2013-02-03,70,0
2013-02-04,38,0
2013-02-05,45,0
2013-02-06,61,0
2013-02-07,44,0
2013-02-08,63,0
2013-02-09,72,0
2013-02-10,85,0
2013-02-11,45,0
2013-02-12,43,0
2013-02-13,43,0
2013-02-14,38,0
2013-02-15,65,0
2013-02-16,72,0
2013-02-17,59,0
2013-02-18,38,0
2013-02-19,60,0
2013-02-20,45,0
2013-02-21,73,0
2013-02-22,48,0
2013-02-23,78,0
2013-02-24,66,0
2013-02-25,49,0
2013-02-26,57,0
2013-02-27,34,0
2013-02-28,72,0
2013-03-01,85,0
2013-03-02,88,0
2013-03-03,90,0
2013-03-04,39,0
2013-03-05,77,0
2013-03-06,65,0
2013-03-07,61,0
2013-03-08,70,0
2013-03-09,79,0
2013-03-10,68,0
2013-03-11,54,0
2013-03-12,57,0
2013-03-13,56,0
2013-03-14,71,0
2013-03-15,75,0
2013-03-16,69,0
2013-03-17,93,0
2013-03-18,58,0
2013-03-19,76,0
2013-03-20,74,0
2013-03-21,64,0
2013-03-22,57,0
2013-03-23,91,0
2013-03-24,91,0
2013-03-25,56,0
2013-03-26,71,0
2013-03-27,66,0
2013-03-28,56,0
2013-03-29,76,0
2013-03-30,83,0
2013-03-31,96,0
2013-04-01,75,0
2013-04-02,67,0
2013-04-03,80,0
2013-04-04,65,0
2013-04-05,94,0
2013-04-06,76,0
2013-04-07,86,0
2013-04-08,61,0
2013-04-09,83,0
2013-04-10,70,0
2013-04-11,75,0
2013-04-12,89,0
2013-04-13,94,0
2013-04-14,105,0
2013-04-15,71,0
2013-04-16,70,0
2013-04-17,76,0
2013-04-18,78,0
2013-04-19,69,0
2013-04-20,80,0
2013-04-21,100,0
2013-04-22,60,0
2013-04-23,66,0
2013-04-24,96,0
2013-04-25,67,0
2013-04-26,83,0
2013-04-27,81,0
2013-04-28,89,0
2013-04-29,68,0
2013-04-30,59,0
2013-05-01,98,0
2013-05-02,82,0
2013-05-03,97,0
2013-05-04,84,0
2013-05-05,90,0
2013-05-06,74,0
2013-05-07,76,0
2013-05-08,66,0
2013-05-09,87,0
2013-05-10,86,0
2013-05-11,95,0
2013-05-12,82,0
2013-05-13,62,0
2013-05-14,74,0
2013-05-15,70,0
2013-05-16,73,0
2013-05-17,113,0
2013-05-18,110,0
2013-05-19,93,0
2013-05-20,63,0
2013-05-21,79,0
2013-05-22,74,0
2013-05-23,93,0
2013-05-24,99,0
2013-05-25,107,0
2013-05-26,101,0
2013-05-27,78,0
2013-05-28,67,0
2013-05-29,79,0
2013-05-30,78,0
2013-05-31,103,0
2013-06-01,104,0
2013-06-02,102,0
2013-06-03,63,0
2013-06-04,72,0
2013-06-05,78,0
2013-06-06,97,0
2013-06-07,91,0
2013-06-08,104,0
2013-06-09,108,0
2013-06-10,73,0
2013-06-11,86,0
2013-06-12,76,0
2013-06-13,81,0
2013-06-14,96,0
2013-06-15,99,0
2013-06-16,108,0
2013-06-17,58,0
2013-06-18,93,0
2013-06-19,95,0
2013-06-20,102,0
2013-06-21,107,0
2013-06-22,106,0
2013-06-23,101,0
2013-06-24,80,0
2013-06-25,78,0
2013-06-26,87,0
2013-06-27,89,0
2013-06-28,96,0
2013-06-29,98,0
2013-06-30,87,0
2013-07-01,87,0
2013-07-02,80,0
2013-07-03,100,0
2013-07-04,100,0
2013-07-05,101,0
2013-07-06,129,0
2013-07-07,103,0
2013-07-08,78,0
2013-07-09,75,0
2013-07-10,75,0
2013-07-11,94,0
2013-07-12,99,0
2013-07-13,88,0
2013-07-14,112,0
2013-07-15,85,0
2013-07-16,95,0
2013-07-17,91,0
2013-07-18,92,0
2013-07-19,108,0
2013-07-20,103,0
2013-07-21,125,0
2013-07-22,82,0
2013-07-23,90,0
2013-07-24,91,0
2013-07-25,106,0
2013-07-26,85,0
2013-07-27,101,0
2013-07-28,123,0
2013-07-29,85,0
2013-07-30,92,0
2013-07-31,83,0
2013-08-01,99,0
2013-08-02,97,0
2013-08-03,84,0
2013-08-04,103,0
2013-08-05,70,0
2013-08-06,76,0
2013-08-07,85,0
2013-08-08,88,0
2013-08-09,90,0
2013-08-10,107,0
2013-08-11,107,0
2013-08-12,74,0
2013-08-13,92,0
2013-08-14,74,0
2013-08-15,95,0
2013-08-16,82,0
2013-08-17,99,0
2013-08-18,70,0
2013-08-19,63,0
2013-08-20,81,0
2013-08-21,79,0
2013-08-22,96,0
2013-08-23,83,0
2013-08-24,89,0
2013-08-25,78,0
2013-08-26,73,0
2013-08-27,53,0
2013-08-28,96,0
2013-08-29,97,0
2013-08-30,103,0
2013-08-31,85,0
2013-09-01,106,0
2013-09-02,76,0
2013-09-03,60,0
2013-09-04,65,0
2013-09-05,90,0
2013-09-06,76,0
2013-09-07,73,0
2013-09-08,103,0
2013-09-09,56,0
2013-09-10,84,0
2013-09-11,76,0
2013-09-12,72,0
2013-09-13,84,0
2013-09-14,102,0
2013-09-15,96,0
2013-09-16,72,0
2013-09-17,89,0
2013-09-18,79,0
2013-09-19,81,0
2013-09-20,72,0
2013-09-21,84,0
2013-09-22,108,0
2013-09-23,62,0
2013-09-24,71,0
2013-09-25,69,0
2013-09-26,89,0
2013-09-27,94,0
2013-09-28,87,0
2013-09-29,103,0
2013-09-30,74,0
2013-10-01,58,0
2013-10-02,73,0
2013-10-03,77,0
2013-10-04,76,0
2013-10-05,74,0
2013-10-06,94,0
2013-10-07,56,0
2013-10-08,66,0
2013-10-09,55,0
2013-10-10,81,0
2013-10-11,74,0
2013-10-12,94,0
2013-10-13,79,0
2013-10-14,55,0
2013-10-15,66,0
2013-10-16,67,0
2013-10-17,77,0
2013-10-18,89,0
2013-10-19,86,0
2013-10-20,86,0
2013-10-21,62,0
2013-10-22,65,0
2013-10-23,76,0
2013-10-24,76,0
2013-10-25,92,0
2013-10-26,96,0
2013-10-27,85,0
2013-10-28,62,0
2013-10-29,100,0
2013-10-30,76,0
2013-10-31,81,0
2013-11-01,68,0
2013-11-02,77,0
2013-11-03,97,0
2013-11-04,63,0
2013-11-05,79,0
2013-11-06,77,0
2013-11-07,77,0
2013-11-08,86,0
2013-11-09,81,0
2013-11-10,97,0
2013-11-11,54,0
2013-11-12,71,0
2013-11-13,78,0
2013-11-14,78,0
2013-11-15,70,0
2013-11-16,87,0
2013-11-17,103,0
2013-11-18,70,0
2013-11-19,68,0
2013-11-20,75,0
2013-11-21,95,0
2013-11-22,82,0
2013-11-23,95,0
2013-11-24,101,0
2013-11-25,65,0
2013-11-26,58,0
2013-11-27,69,0
2013-11-28,74,0
2013-11-29,90,0
2013-11-30,91,0
2013-12-01,73,0
2013-12-02,48,0
2013-12-03,43,0
2013-12-04,59,0
2013-12-05,54,0
2013-12-06,53,0
2013-12-07,69,0
2013-12-08,53,0
2013-12-09,41,0
2013-12-10,53,0
2013-12-11,51,0
2013-12-12,58,0
2013-12-13,60,0
2013-12-14,68,0
2013-12-15,68,0
2013-12-16,41,0
2013-12-17,50,0
2013-12-18,51,0
2013-12-19,57,0
2013-12-20,62,0
2013-12-21,63,0
2013-12-22,57,0
2013-12-23,45,0
2013-12-24,42,0
2013-12-25,51,0
2013-12-26,75,0
2013-12-27,38,0
2013-12-28,61,0
2013-12-29,80,0
2013-12-30,34,0
2013-12-31,59,0
2014-01-01,64,0
2014-01-02,65,0
2014-01-03,76,0
2014-01-04,53,0
2014-01-05,79,0
2014-01-06,51,0
2014-01-07,52,0
2014-01-08,55,0
2014-01-09,63,0
2014-01-10,67,0
2014-01-11,62,0
2014-01-12,65,0
2014-01-13,36,0
2014-01-14,56,0
2014-01-15,50,0
2014-01-16,56,0
2014-01-17,57,0
2014-01-18,59,0
2014-01-19,50,0
2014-01-20,40,0
2014-01-21,51,0
2014-01-22,57,0
2014-01-23,53,0
2014-01-24,62,0
2014-01-25,71,0
2014-01-26,76,0
2014-01-27,57,0
2014-01-28,51,0
2014-01-29,61,0
2014-01-30,57,0
2014-01-31,62,0
2014-02-01,67,0
2014-02-02,84,0
2014-02-03,41,0
2014-02-04,61,0
2014-02-05,67,0
2014-02-06,71,0
2014-02-07,61,0
2014-02-08,83,0
2014-02-09,83,0
2014-02-10,48,0
2014-02-11,68,0
2014-02-12,78,0
2014-02-13,68,0
2014-02-14,65,0
2014-02-15,69,0
2014-02-16,73,0
2014-02-17,47,0
2014-02-18,61,0
2014-02-19,59,0
2014-02-20,51,0
2014-02-21,51,0
2014-02-22,79,0
2014-02-23,82,0
2014-02-24,52,0
2014-02-25,52,0
2014-02-26,58,0
2014-02-27,59,0
2014-02-28,74,0
2014-03-01,95,0
2014-03-02,90,0
2014-03-03,53,0
2014-03-04,81,0
2014-03-05,66,0
2014-03-06,79,0
2014-03-07,94,0
2014-03-08,78,0
2014-03-09,105,0
2014-03-10,56,0
2014-03-11,79,0
2014-03-12,86,0
2014-03-13,72,0
2014-03-14,87,0
2014-03-15,80,0
2014-03-16,108,0
2014-03-17,80,0
2014-03-18,68,0
2014-03-19,65,0
2014-03-20,70,0
2014-03-21,91,0
2014-03-22,86,0
2014-03-23,89,0
2014-03-24,66,0
2014-03-25,81,0
2014-03-26,78,0
2014-03-27,80,0
2014-03-28,91,0
2014-03-29,80,0
2014-03-30,99,0
2014-03-31,58,0
2014-04-01,71,0
2014-04-02,84,0
2014-04-03,97,0
2014-04-04,116,0
2014-04-05,81,0
2014-04-06,116,0
2014-04-07,84,0
2014-04-08,81,0
2014-04-09,88,0
2014-04-10,98,0
2014-04-11,106,0
2014-04-12,109,0
2014-04-13,130,0
2014-04-14,68,0
2014-04-15,85,0
2014-04-16,79,0
2014-04-17,85,0
2014-04-18,97,0
2014-04-19,91,0
2014-04-20,98,0
2014-04-21,92,0
2014-04-22,84,0
2014-04-23,88,0
2014-04-24,87,0
2014-04-25,99,0
2014-04-26,107,0
2014-04-27,118,0
2014-04-28,75,0
2014-04-29,76,0
2014-04-30,97,0
2014-05-01,82,0
2014-05-02,98,0
2014-05-03,109,0
2014-05-04,109,0
2014-05-05,73,0
2014-05-06,96,0
2014-05-07,99,0
2014-05-08,85,0
2014-05-09,90,0
2014-05-10,104,0
2014-05-11,128,0
2014-05-12,83,0
2014-05-13,85,0
2014-05-14,95,0
2014-05-15,96,0
2014-05-16,104,0
2014-05-17,120,0
2014-05-18,118,0
2014-05-19,91,0
2014-05-20,88,0
2014-05-21,96,0
2014-05-22,91,0
2014-05-23,81,0
2014-05-24,116,0
2014-05-25,128,0
2014-05-26,83,0
2014-05-27,87,0
2014-05-28,83,0
2014-05-29,79,0
2014-05-30,100,0
2014-05-31,105,0
2014-06-01,129,0
2014-06-02,86,0
2014-06-03,93,0
2014-06-04,79,0
2014-06-05,88,0
2014-06-06,89,0
2014-06-07,115,0
2014-06-08,132,0
2014-06-09,83,0
2014-06-10,99,0
2014-06-11,109,0
2014-06-12,116,0
2014-06-13,109,0
2014-06-14,136,0
2014-06-15,130,0
2014-06-16,84,0
2014-06-17,102,0
2014-06-18,96,0
2014-06-19,99,0
2014-06-20,118,0
2014-06-21,124,0
2014-06-22,105,0
2014-06-23,72,0
2014-06-24,79,0
2014-06-25,91,0
2014-06-26,122,0
2014-06-27,105,0
2014-06-28,101,0
2014-06-29,119,0
2014-06-30,69,0
2014-07-01,81,0
2014-07-02,110,0
2014-07-03,100,0
2014-07-04,133,0
2014-07-05,112,0
2014-07-06,131,0
2014-07-07,83,0
2014-07-08,86,0
2014-07-09,105,0
2014-07-10,112,0
2014-07-11,129,0
2014-07-12,131,0
2014-07-13,159,0
2014-07-14,83,0
2014-07-15,102,0
2014-07-16,109,0
2014-07-17,109,0
2014-07-18,116,0
2014-07-19,125,0
2014-07-20,127,0
2014-07-21,82,0
2014-07-22,107,0
2014-07-23,109,0
2014-07-24,102,0
2014-07-25,135,0
2014-07-26,122,0
2014-07-27,114,0
2014-07-28,72,0
2014-07-29,100,0
2014-07-30,110,0
2014-07-31,112,0
2014-08-01,122,0
2014-08-02,123,0
2014-08-03,135,0
2014-08-04,69,0
2014-08-05,93,0
2014-08-06,95,0
2014-08-07,98,0
2014-08-08,84,0
2014-08-09,90,0
2014-08-10,109,0
2014-08-11,79,0
2014-08-12,94,0
2014-08-13,97,0
2014-08-14,103,0
2014-08-15,99,0
2014-08-16,114,0
2014-08-17,126,0
2014-08-18,74,0
2014-08-19,89,0
2014-08-20,85,0
2014-08-21,98,0
2014-08-22,121,0
2014-08-23,111,0
2014-08-24,109,0
2014-08-25,74,0
2014-08-26,78,0
2014-08-27,86,0
2014-08-28,80,0
2014-08-29,98,0
2014-08-30,120,0
2014-08-31,113,0
2014-09-01,82,0
2014-09-02,91,0
2014-09-03,87,0
2014-09-04,87,0
2014-09-05,100,0
2014-09-06,92,0
2014-09-07,116,0
2014-09-08,66,0
2014-09-09,99,0
2014-09-10,71,0
2014-09-11,74,0
2014-09-12,98,0
2014-09-13,119,0
2014-09-14,103,0
2014-09-15,71,0
2014-09-16,101,0
2014-09-17,101,0
2014-09-18,86,0
2014-09-19,88,0
2014-09-20,113,0
2014-09-21,102,0
2014-09-22,74,0
2014-09-23,88,0
2014-09-24,78,0
2014-09-25,98,0
2014-09-26,92,0
2014-09-27,105,0
2014-09-28,113,0
2014-09-29,87,0
2014-09-30,97,0
2014-10-01,76,0
2014-10-02,86,0
2014-10-03,73,0
2014-10-04,88,0
2014-10-05,97,0
2014-10-06,62,0
2014-10-07,74,0
2014-10-08,81,0
2014-10-09,84,0
2014-10-10,97,0
2014-10-11,97,0
2014-10-12,106,0
2014-10-13,57,0
2014-10-14,82,0
2014-10-15,76,0
2014-10-16,89,0
2014-10-17,88,0
2014-10-18,94,0
2014-10-19,109,0
2014-10-20,58,0
2014-10-21,89,0
2014-10-22,86,0
2014-10-23,85,0
2014-10-24,94,0
2014-10-25,82,0
2014-10-26,89,0
2014-10-27,58,0
2014-10-28,81,0
2014-10-29,99,0
2014-10-30,83,0
2014-10-31,100,0
2014-11-01,103,0
2014-11-02,121,0
2014-11-03,68,0
2014-11-04,89,0
2014-11-05,96,0
2014-11-06,108,0
2014-11-07,107,0
2014-11-08,102,0
2014-11-09,111,0
2014-11-10,74,0
2014-11-11,91,0
2014-11-12,87,0
2014-11-13,90,0
2014-11-14,100,0
2014-11-15,93,0
2014-11-16,124,0
2014-11-17,67,0
2014-11-18,92,0
2014-11-19,88,0
2014-11-20,92,0
2014-11-21,92,0
2014-11-22,126,0
2014-11-23,106,0
2014-11-24,75,0
2014-11-25,95,0
2014-11-26,80,0
2014-11-27,84,0
2014-11-28,86,0
2014-11-29,110,0
2014-11-30,104,0
2014-12-01,48,0
2014-12-02,59,0
2014-12-03,65,0
2014-12-04,50,0
2014-12-05,70,0
2014-12-06,94,0
2014-12-07,103,0
2014-12-08,60,0
2014-12-09,53,0
2014-12-10,74,0
2014-12-11,70,0
2014-12-12,58,0
2014-12-13,80,0
2014-12-14,77,0
2014-12-15,46,0
2014-12-16,65,0
2014-12-17,84,0
2014-12-18,63,0
2014-12-19,55,0
2014-12-20,77,0
2014-12-21,83,0
2014-12-22,49,0
2014-12-23,61,0
2014-12-24,57,0
2014-12-25,80,0
2014-12-26,59,0
2014-12-27,66,0
2014-12-28,82,0
2014-12-29,56,0
2014-12-30,60,0
2014-12-31,71,0
2015-01-01,53,0
2015-01-02,69,0
2015-01-03,72,0
2015-01-04,72,0
2015-01-05,51,0
2015-01-06,51,0
2015-01-07,57,0
2015-01-08,61,0
2015-01-09,62,0
2015-01-10,67,0
2015-01-11,82,0
2015-01-12,41,0
2015-01-13,63,0
2015-01-14,49,0
2015-01-15,65,0
2015-01-16,62,0
2015-01-17,68,0
2015-01-18,71,0
2015-01-19,58,0
2015-01-20,38,0
2015-01-21,61,0
2015-01-22,55,0
2015-01-23,70,0
2015-01-24,71,0
2015-01-25,86,0
2015-01-26,41,0
2015-01-27,61,0
2015-01-28,55,0
2015-01-29,55,0
2015-01-30,58,0
2015-01-31,67,0
2015-02-01,84,0
2015-02-02,46,0
2015-02-03,57,0
2015-02-04,55,0
2015-02-05,83,0
2015-02-06,65,0
2015-02-07,83,0
2015-02-08,85,0
2015-02-09,50,0
2015-02-10,63,0
2015-02-11,58,0
2015-02-12,76,0
2015-02-13,79,0
2015-02-14,75,0
2015-02-15,93,0
2015-02-16,52,0
2015-02-17,66,0
2015-02-18,74,0
2015-02-19,56,0
2015-02-20,97,0
2015-02-21,80,0
2015-02-22,76,0
2015-02-23,50,0
2015-02-24,71,0
2015-02-25,53,0
2015-02-26,56,0
2015-02-27,78,0
2015-02-28,74,0
2015-03-01,101,0
2015-03-02,81,0
2015-03-03,76,0
2015-03-04,69,0
2015-03-05,69,0
2015-03-06,90,0
2015-03-07,95,0
2015-03-08,92,0
2015-03-09,49,0
2015-03-10,56,0
2015-03-11,79,0
2015-03-12,76,0
2015-03-13,87,0
2015-03-14,86,0
2015-03-15,107,0
2015-03-16,61,0
2015-03-17,77,0
2015-03-18,78,0
2015-03-19,80,0
2015-03-20,96,0
2015-03-21,83,0
2015-03-22,110,0
2015-03-23,61,0
2015-03-24,76,0
2015-03-25,87,0
2015-03-26,61,0
2015-03-27,87,0
2015-03-28,95,0
2015-03-29,98,0
2015-03-30,71,0
2015-03-31,73,0
2015-04-01,75,0
2015-04-02,99,0
2015-04-03,118,0
2015-04-04,112,0
2015-04-05,97,0
2015-04-06,69,0
2015-04-07,102,0
2015-04-08,86,0
2015-04-09,86,0
2015-04-10,109,0
2015-04-11,104,0
2015-04-12,128,0
2015-04-13,83,0
2015-04-14,84,0
2015-04-15,83,0
2015-04-16,99,0
2015-04-17,106,0
2015-04-18,107,0
2015-04-19,111,0
2015-04-20,73,0
2015-04-21,80,0
2015-04-22,78,0
2015-04-23,83,0
2015-04-24,93,0
2015-04-25,101,0
2015-04-26,113,0
2015-04-27,73,0
2015-04-28,96,0
2015-04-29,94,0
