y,ds,unique_id
1000,2020-01-01,0
1001,2020-01-02,0
1002,2020-01-03,0
1003,2020-01-04,0
1004,2020-01-05,0
1005,2020-01-06,0
1006,2020-01-07,0
1007,2020-01-08,0
1008,2020-01-09,0
1009,2020-01-10,0
1010,2020-01-11,0
1011,2020-01-12,0
1012,2020-01-13,0
1013,2020-01-14,0
1014,2020-01-15,0
1015,2020-01-16,0
1016,2020-01-17,0
1017,2020-01-18,0
1018,2020-01-19,0
1019,2020-01-20,0
1020,2020-01-21,0
1021,2020-01-22,0
1022,2020-01-23,0
1023,2020-01-24,0
1024,2020-01-25,0
1025,2020-01-26,0
1026,2020-01-27,0
1027,2020-01-28,0
1028,2020-01-29,0
1029,2020-01-30,0
1030,2020-01-31,0
1031,2020-02-01,0
1032,2020-02-02,0
1033,2020-02-03,0
1034,2020-02-04,0
1035,2020-02-05,0
1036,2020-02-06,0
1037,2020-02-07,0
1038,2020-02-08,0
1039,2020-02-09,0
1040,2020-02-10,0
1041,2020-02-11,0
1042,2020-02-12,0
1043,2020-02-13,0
1044,2020-02-14,0
1045,2020-02-15,0
1046,2020-02-16,0
1047,2020-02-17,0
1048,2020-02-18,0
1049,2020-02-19,0
1050,2020-02-20,0
1051,2020-02-21,0
1052,2020-02-22,0
1053,2020-02-23,0
1054,2020-02-24,0
1055,2020-02-25,0
1056,2020-02-26,0
1057,2020-02-27,0
1058,2020-02-28,0
1059,2020-02-29,0
1060,2020-03-01,0
1061,2020-03-02,0
1062,2020-03-03,0
1063,2020-03-04,0
1064,2020-03-05,0
1065,2020-03-06,0
1066,2020-03-07,0
1067,2020-03-08,0
1068,2020-03-09,0
1069,2020-03-10,0
1070,2020-03-11,0
1071,2020-03-12,0
1072,2020-03-13,0
1073,2020-03-14,0
1074,2020-03-15,0
1075,2020-03-16,0
1076,2020-03-17,0
1077,2020-03-18,0
1078,2020-03-19,0
1079,2020-03-20,0
1080,2020-03-21,0
1081,2020-03-22,0
1082,2020-03-23,0
1083,2020-03-24,0
1084,2020-03-25,0
1085,2020-03-26,0
1086,2020-03-27,0
1087,2020-03-28,0
1088,2020-03-29,0
1089,2020-03-30,0
1090,2020-03-31,0
1091,2020-04-01,0
1092,2020-04-02,0
1093,2020-04-03,0
1094,2020-04-04,0
1095,2020-04-05,0
1096,2020-04-06,0
1097,2020-04-07,0
1098,2020-04-08,0
1099,2020-04-09,0
1100,2020-04-10,0
1101,2020-04-11,0
1102,2020-04-12,0
1103,2020-04-13,0
1104,2020-04-14,0
1105,2020-04-15,0
1106,2020-04-16,0
1107,2020-04-17,0
1108,2020-04-18,0
1109,2020-04-19,0
1110,2020-04-20,0
1111,2020-04-21,0
1112,2020-04-22,0
1113,2020-04-23,0
1114,2020-04-24,0
1115,2020-04-25,0
1116,2020-04-26,0
1117,2020-04-27,0
1118,2020-04-28,0
1119,2020-04-29,0
1120,2020-04-30,0
1121,2020-05-01,0
1122,2020-05-02,0
1123,2020-05-03,0
1124,2020-05-04,0
1125,2020-05-05,0
1126,2020-05-06,0
1127,2020-05-07,0
1128,2020-05-08,0
1129,2020-05-09,0
1130,2020-05-10,0
1131,2020-05-11,0
1132,2020-05-12,0
1133,2020-05-13,0
1134,2020-05-14,0
1135,2020-05-15,0
1136,2020-05-16,0
1137,2020-05-17,0
1138,2020-05-18,0
1139,2020-05-19,0
1140,2020-05-20,0
1141,2020-05-21,0
1142,2020-05-22,0
1143,2020-05-23,0
1144,2020-05-24,0
1145,2020-05-25,0
1146,2020-05-26,0
1147,2020-05-27,0
1148,2020-05-28,0
1149,2020-05-29,0
1150,2020-05-30,0
1151,2020-05-31,0
1152,2020-06-01,0
1153,2020-06-02,0
1154,2020-06-03,0
1155,2020-06-04,0
1156,2020-06-05,0
1157,2020-06-06,0
1158,2020-06-07,0
1159,2020-06-08,0
1160,2020-06-09,0
1161,2020-06-10,0
1162,2020-06-11,0
1163,2020-06-12,0
1164,2020-06-13,0
1165,2020-06-14,0
1166,2020-06-15,0
1167,2020-06-16,0
1168,2020-06-17,0
1169,2020-06-18,0
1170,2020-06-19,0
1171,2020-06-20,0
1172,2020-06-21,0
1173,2020-06-22,0
1174,2020-06-23,0
1175,2020-06-24,0
1176,2020-06-25,0
1177,2020-06-26,0
1178,2020-06-27,0
1179,2020-06-28,0
1180,2020-06-29,0
1181,2020-06-30,0
1182,2020-07-01,0
1183,2020-07-02,0
1184,2020-07-03,0
1185,2020-07-04,0
1186,2020-07-05,0
1187,2020-07-06,0
1188,2020-07-07,0
1189,2020-07-08,0
1190,2020-07-09,0
1191,2020-07-10,0
1192,2020-07-11,0
1193,2020-07-12,0
1194,2020-07-13,0
1195,2020-07-14,0
1196,2020-07-15,0
1197,2020-07-16,0
1198,2020-07-17,0
1199,2020-07-18,0
1200,2020-07-19,0
1201,2020-07-20,0
1202,2020-07-21,0
1203,2020-07-22,0
1204,2020-07-23,0
1205,2020-07-24,0
1206,2020-07-25,0
1207,2020-07-26,0
1208,2020-07-27,0
1209,2020-07-28,0
1210,2020-07-29,0
1211,2020-07-30,0
1212,2020-07-31,0
1213,2020-08-01,0
1214,2020-08-02,0
1215,2020-08-03,0
1216,2020-08-04,0
1217,2020-08-05,0
1218,2020-08-06,0
1219,2020-08-07,0
1220,2020-08-08,0
1221,2020-08-09,0
1222,2020-08-10,0
1223,2020-08-11,0
1224,2020-08-12,0
1225,2020-08-13,0
1226,2020-08-14,0
1227,2020-08-15,0
1228,2020-08-16,0
1229,2020-08-17,0
1230,2020-08-18,0
1231,2020-08-19,0
1232,2020-08-20,0
1233,2020-08-21,0
1234,2020-08-22,0
1235,2020-08-23,0
1236,2020-08-24,0
1237,2020-08-25,0
1238,2020-08-26,0
1239,2020-08-27,0
1240,2020-08-28,0
1241,2020-08-29,0
1242,2020-08-30,0
1243,2020-08-31,0
1244,2020-09-01,0
1245,2020-09-02,0
1246,2020-09-03,0
1247,2020-09-04,0
1248,2020-09-05,0
1249,2020-09-06,0
1250,2020-09-07,0
1251,2020-09-08,0
1252,2020-09-09,0
1253,2020-09-10,0
1254,2020-09-11,0
1255,2020-09-12,0
1256,2020-09-13,0
1257,2020-09-14,0
1258,2020-09-15,0
1259,2020-09-16,0
1260,2020-09-17,0
1261,2020-09-18,0
1262,2020-09-19,0
1263,2020-09-20,0
1264,2020-09-21,0
1265,2020-09-22,0
1266,2020-09-23,0
1267,2020-09-24,0
1268,2020-09-25,0
1269,2020-09-26,0
1270,2020-09-27,0
1271,2020-09-28,0
1272,2020-09-29,0
1273,2020-09-30,0
1274,2020-10-01,0
1275,2020-10-02,0
1276,2020-10-03,0
1277,2020-10-04,0
1278,2020-10-05,0
1279,2020-10-06,0
1280,2020-10-07,0
1281,2020-10-08,0
1282,2020-10-09,0
1283,2020-10-10,0
1284,2020-10-11,0
1285,2020-10-12,0
1286,2020-10-13,0
1287,2020-10-14,0
1288,2020-10-15,0
1289,2020-10-16,0
1290,2020-10-17,0
1291,2020-10-18,0
1292,2020-10-19,0
1293,2020-10-20,0
1294,2020-10-21,0
1295,2020-10-22,0
1296,2020-10-23,0
1297,2020-10-24,0
1298,2020-10-25,0
1299,2020-10-26,0
1300,2020-10-27,0
1301,2020-10-28,0
1302,2020-10-29,0
1303,2020-10-30,0
1304,2020-10-31,0
1305,2020-11-01,0
1306,2020-11-02,0
1307,2020-11-03,0
1308,2020-11-04,0
1309,2020-11-05,0
1310,2020-11-06,0
1311,2020-11-07,0
1312,2020-11-08,0
1313,2020-11-09,0
1314,2020-11-10,0
1315,2020-11-11,0
1316,2020-11-12,0
1317,2020-11-13,0
1318,2020-11-14,0
1319,2020-11-15,0
1320,2020-11-16,0
1321,2020-11-17,0
1322,2020-11-18,0
1323,2020-11-19,0
1324,2020-11-20,0
1325,2020-11-21,0
1326,2020-11-22,0
1327,2020-11-23,0
1328,2020-11-24,0
1329,2020-11-25,0
1330,2020-11-26,0
1331,2020-11-27,0
1332,2020-11-28,0
1333,2020-11-29,0
1334,2020-11-30,0
1335,2020-12-01,0
1336,2020-12-02,0
1337,2020-12-03,0
1338,2020-12-04,0
1339,2020-12-05,0
1340,2020-12-06,0
1341,2020-12-07,0
1342,2020-12-08,0
1343,2020-12-09,0
1344,2020-12-10,0
1345,2020-12-11,0
1346,2020-12-12,0
1347,2020-12-13,0
1348,2020-12-14,0
1349,2020-12-15,0
1350,2020-12-16,0
1351,2020-12-17,0
1352,2020-12-18,0
1353,2020-12-19,0
1354,2020-12-20,0
1355,2020-12-21,0
1356,2020-12-22,0
1357,2020-12-23,0
1358,2020-12-24,0
1359,2020-12-25,0
1360,2020-12-26,0
1361,2020-12-27,0
1362,2020-12-28,0
1363,2020-12-29,0
1364,2020-12-30,0
1365,2020-12-31,0
1366,2021-01-01,0
1367,2021-01-02,0
1368,2021-01-03,0
1369,2021-01-04,0
1370,2021-01-05,0
1371,2021-01-06,0
1372,2021-01-07,0
