value,date,id
1000,2020-01-01,0
1001,2020-01-29,0
1002,2020-02-26,0
1003,2020-03-25,0
1004,2020-04-22,0
1005,2020-05-20,0
1006,2020-06-17,0
1007,2020-07-15,0
1008,2020-08-12,0
1009,2020-09-09,0
1010,2020-10-07,0
1011,2020-11-04,0
1012,2020-12-02,0
1013,2020-12-30,0
1014,2021-01-27,0
1015,2021-02-24,0
1016,2021-03-24,0
1017,2021-04-21,0
1018,2021-05-19,0
1019,2021-06-16,0
1020,2021-07-14,0
1021,2021-08-11,0
1022,2021-09-08,0
1023,2021-10-06,0
1024,2021-11-03,0
1025,2021-12-01,0
1026,2021-12-29,0
1027,2022-01-26,0
1028,2022-02-23,0
1029,2022-03-23,0
1030,2022-04-20,0
1031,2022-05-18,0
1032,2022-06-15,0
1033,2022-07-13,0
1034,2022-08-10,0
1035,2022-09-07,0
1036,2022-10-05,0
1037,2022-11-02,0
1038,2022-11-30,0
1039,2022-12-28,0
1040,2023-01-25,0
1041,2023-02-22,0
1042,2023-03-22,0
1043,2023-04-19,0
1044,2023-05-17,0
1045,2023-06-14,0
1046,2023-07-12,0
1047,2023-08-09,0
1048,2023-09-06,0
1049,2023-10-04,0
1050,2023-11-01,0
1051,2023-11-29,0
1052,2023-12-27,0
1053,2024-01-24,0
1054,2024-02-21,0
1055,2024-03-20,0
1056,2024-04-17,0
1057,2024-05-15,0
1058,2024-06-12,0
1059,2024-07-10,0
1060,2024-08-07,0
1061,2024-09-04,0
1062,2024-10-02,0
1063,2024-10-30,0
1064,2024-11-27,0
1065,2024-12-25,0
1066,2025-01-22,0
1067,2025-02-19,0
1068,2025-03-19,0
1069,2025-04-16,0
1070,2025-05-14,0
1071,2025-06-11,0
1072,2025-07-09,0
1073,2025-08-06,0
1074,2025-09-03,0
1075,2025-10-01,0
1076,2025-10-29,0
1077,2025-11-26,0
1078,2025-12-24,0
1079,2026-01-21,0
1080,2026-02-18,0
1081,2026-03-18,0
1082,2026-04-15,0
1083,2026-05-13,0
1084,2026-06-10,0
1085,2026-07-08,0
1086,2026-08-05,0
1087,2026-09-02,0
1088,2026-09-30,0
1089,2026-10-28,0
1090,2026-11-25,0
1091,2026-12-23,0
1092,2027-01-20,0
1093,2027-02-17,0
1094,2027-03-17,0
1095,2027-04-14,0
1096,2027-05-12,0
1097,2027-06-09,0
1098,2027-07-07,0
1099,2027-08-04,0
2000,2020-01-01,1
2001,2020-01-29,1
2002,2020-02-26,1
2003,2020-03-25,1
2004,2020-04-22,1
2005,2020-05-20,1
2006,2020-06-17,1
2007,2020-07-15,1
2008,2020-08-12,1
2009,2020-09-09,1
2010,2020-10-07,1
2011,2020-11-04,1
2012,2020-12-02,1
2013,2020-12-30,1
2014,2021-01-27,1
2015,2021-02-24,1
2016,2021-03-24,1
2017,2021-04-21,1
2018,2021-05-19,1
2019,2021-06-16,1
2020,2021-07-14,1
2021,2021-08-11,1
2022,2021-09-08,1
2023,2021-10-06,1
2024,2021-11-03,1
2025,2021-12-01,1
2026,2021-12-29,1
2027,2022-01-26,1
2028,2022-02-23,1
2029,2022-03-23,1
2030,2022-04-20,1
2031,2022-05-18,1
2032,2022-06-15,1
2033,2022-07-13,1
2034,2022-08-10,1
2035,2022-09-07,1
2036,2022-10-05,1
2037,2022-11-02,1
2038,2022-11-30,1
2039,2022-12-28,1
2040,2023-01-25,1
2041,2023-02-22,1
2042,2023-03-22,1
2043,2023-04-19,1
2044,2023-05-17,1
2045,2023-06-14,1
2046,2023-07-12,1
2047,2023-08-09,1
2048,2023-09-06,1
2049,2023-10-04,1
2050,2023-11-01,1
2051,2023-11-29,1
2052,2023-12-27,1
2053,2024-01-24,1
2054,2024-02-21,1
2055,2024-03-20,1
2056,2024-04-17,1
2057,2024-05-15,1
2058,2024-06-12,1
2059,2024-07-10,1
2060,2024-08-07,1
2061,2024-09-04,1
2062,2024-10-02,1
2063,2024-10-30,1
2064,2024-11-27,1
2065,2024-12-25,1
2066,2025-01-22,1
2067,2025-02-19,1
2068,2025-03-19,1
2069,2025-04-16,1
2070,2025-05-14,1
2071,2025-06-11,1
2072,2025-07-09,1
2073,2025-08-06,1
2074,2025-09-03,1
2075,2025-10-01,1
2076,2025-10-29,1
2077,2025-11-26,1
2078,2025-12-24,1
2079,2026-01-21,1
2080,2026-02-18,1
2081,2026-03-18,1
2082,2026-04-15,1
2083,2026-05-13,1
2084,2026-06-10,1
2085,2026-07-08,1
2086,2026-08-05,1
2087,2026-09-02,1
2088,2026-09-30,1
2089,2026-10-28,1
2090,2026-11-25,1
2091,2026-12-23,1
2092,2027-01-20,1
2093,2027-02-17,1
2094,2027-03-17,1
2095,2027-04-14,1
2096,2027-05-12,1
2097,2027-06-09,1
2098,2027-07-07,1
2099,2027-08-04,1
3000,2020-01-01,2
3001,2020-01-29,2
3002,2020-02-26,2
3003,2020-03-25,2
3004,2020-04-22,2
3005,2020-05-20,2
3006,2020-06-17,2
3007,2020-07-15,2
3008,2020-08-12,2
3009,2020-09-09,2
3010,2020-10-07,2
3011,2020-11-04,2
3012,2020-12-02,2
3013,2020-12-30,2
3014,2021-01-27,2
3015,2021-02-24,2
3016,2021-03-24,2
3017,2021-04-21,2
3018,2021-05-19,2
3019,2021-06-16,2
3020,2021-07-14,2
3021,2021-08-11,2
3022,2021-09-08,2
3023,2021-10-06,2
3024,2021-11-03,2
3025,2021-12-01,2
3026,2021-12-29,2
3027,2022-01-26,2
3028,2022-02-23,2
3029,2022-03-23,2
3030,2022-04-20,2
3031,2022-05-18,2
3032,2022-06-15,2
3033,2022-07-13,2
3034,2022-08-10,2
3035,2022-09-07,2
3036,2022-10-05,2
3037,2022-11-02,2
3038,2022-11-30,2
3039,2022-12-28,2
3040,2023-01-25,2
3041,2023-02-22,2
3042,2023-03-22,2
3043,2023-04-19,2
3044,2023-05-17,2
3045,2023-06-14,2
3046,2023-07-12,2
3047,2023-08-09,2
3048,2023-09-06,2
3049,2023-10-04,2
3050,2023-11-01,2
3051,2023-11-29,2
3052,2023-12-27,2
3053,2024-01-24,2
3054,2024-02-21,2
3055,2024-03-20,2
3056,2024-04-17,2
3057,2024-05-15,2
3058,2024-06-12,2
3059,2024-07-10,2
3060,2024-08-07,2
3061,2024-09-04,2
3062,2024-10-02,2
3063,2024-10-30,2
3064,2024-11-27,2
3065,2024-12-25,2
3066,2025-01-22,2
3067,2025-02-19,2
